distortion_name,model_name,orig_label,orig_conf,dist_label,dist_conf,top1_match,confidence_delta,class_changed,param_brightness,param_contrast
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5800473093986511,True,-0.14649099111557007,False,-0.4,0.30000000000000004
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5550029277801514,True,-0.17153537273406982,False,-0.4,0.3500000000000001
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5304383039474487,True,-0.19609999656677246,False,-0.4,0.4
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5064970254898071,True,-0.22004127502441406,False,-0.4,0.45000000000000007
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.4837853014469147,True,-0.24275299906730652,False,-0.4,0.5
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 619,0.10909131169319153,False,-0.6174469888210297,True,-0.35,-0.5
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 892,0.1618110090494156,False,-0.5647272914648056,True,-0.35,-0.45
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 892,0.11769989132881165,False,-0.6088384091854095,True,-0.35,-0.4
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 619,0.07859820872545242,False,-0.6479400917887688,True,-0.35,-0.35
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.08374576270580292,True,-0.6427925378084183,False,-0.35,-0.3
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.21448934078216553,True,-0.5120489597320557,False,-0.35,-0.25
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.37809625267982483,True,-0.34844204783439636,False,-0.35,-0.19999999999999996
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5556655526161194,True,-0.1708727478981018,False,-0.35,-0.14999999999999997
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6082672476768494,True,-0.11827105283737183,False,-0.35,-0.09999999999999998
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6269720792770386,True,-0.09956622123718262,False,-0.35,-0.04999999999999999
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6280483603477478,True,-0.09848994016647339,False,-0.35,0.0
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6380434036254883,True,-0.08849489688873291,False,-0.35,0.050000000000000044
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6124857664108276,True,-0.11405253410339355,False,-0.35,0.10000000000000009
